symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,risk_usd_at_entry,gross_pnl_usd,commission_usd,net_pnl_usd,r_multiple_net
EURUSD,BUY,0.23,2026-08-14 06:00:00+00:00,1.15428,1.1532044910326837,1.157106526901949,2026-08-14 11:40:00+00:00,1.157106526901949,TP,24.7367,65.0101,1.15,63.8601,2.5816
GBPUSD,BUY,0.11,2026-08-07 14:00:00+00:00,1.34911,1.3469609269150606,1.354877219254818,2026-08-14 12:30:00+00:00,1.354877219254818,TP,23.6398,63.4394,0.55,62.8894,2.6603
GBPUSD,SELL,0.18,2026-08-18 23:00:00+00:00,1.35339,1.3547108154827392,1.349307553551782,2026-08-19 06:04:00+00:00,1.3547108154827392,SL,23.7747,-23.7747,0.9,-24.6747,-1.0379
GBPUSD,SELL,0.18,2026-08-25 06:00:00+00:00,1.36224,1.3635825642184385,1.3582523073446842,2026-08-25 07:03:00+00:00,1.3635825642184385,SL,24.1662,-24.1662,0.9,-25.0662,-1.0372
GBPUSD,BUY,0.15,2026-08-25 09:00:00+00:00,1.3642800000000002,1.3626774731822486,1.3684475804532539,2026-08-25 12:37:00+00:00,1.3626774731822486,SL,24.0379,-24.0379,0.75,-24.7879,-1.0312
EURUSD,SELL,0.19,2026-08-24 15:00:00+00:00,1.16655,1.167851735719795,1.1626047928406142,2026-08-25 19:16:00+00:00,1.167851735719795,SL,24.733,-24.733,0.95,-25.683,-1.0384
EURUSD,BUY,0.2,2026-08-25 20:00:00+00:00,1.16774,1.1665249763136325,1.170905071059103,2026-08-26 03:31:00+00:00,1.1665249763136325,SL,24.3005,-24.3005,1.0,-25.3005,-1.0412
EURUSD,SELL,0.26,2026-08-26 06:00:00+00:00,1.16644,1.1673817513634017,1.1635747459097954,2026-08-26 07:37:00+00:00,1.1673817513634017,SL,24.4855,-24.4855,1.3,-25.7855,-1.0531
EURUSD,BUY,0.24,2026-08-26 09:00:00+00:00,1.1671799999999999,1.1661467227604252,1.1700398317187244,2026-08-26 10:57:00+00:00,1.1661467227604252,SL,24.7987,-24.7987,1.2,-25.9987,-1.0484
GBPUSD,SELL,0.19,2026-08-26 11:00:00+00:00,1.36202,1.3632954325325157,1.3581137024024534,2026-08-26 12:06:00+00:00,1.3632954325325157,SL,24.2332,-24.2332,0.95,-25.1832,-1.0392
EURUSD,BUY,0.17,2026-09-03 09:00:00+00:00,1.16104,1.1596362944013203,1.164691116796039,2026-09-04 12:30:00+00:00,1.1596362944013203,SL,23.863,-23.863,0.85,-24.713,-1.0356
GBPUSD,BUY,0.1,2026-09-03 18:00:00+00:00,1.3540100000000002,1.3517221973266342,1.360233408020097,2026-09-04 12:30:00+00:00,1.3517221973266342,SL,22.878,-22.878,0.5,-23.378,-1.0219
GBPUSD,SELL,0.16,2026-09-07 03:00:00+00:00,1.3507,1.3522403620603947,1.3459989138188166,2026-09-07 06:22:00+00:00,1.3522403620603947,SL,24.6458,-24.6458,0.8,-25.4458,-1.0325
GBPUSD,BUY,0.14,2026-09-07 08:00:00+00:00,1.35342,1.3517073945742657,1.3579178162772023,2026-09-10 12:16:00+00:00,1.3517073945742657,SL,23.9765,-23.9765,0.7,-24.6765,-1.0292
EURUSD,SELL,0.15,2026-09-10 14:00:00+00:00,1.16114,1.1627705751082114,1.156248274675366,2026-09-10 14:35:00+00:00,1.1627705751082114,SL,24.4586,-24.4586,0.75,-25.2086,-1.0307
GBPUSD,SELL,0.12,2026-09-10 14:00:00+00:00,1.35155,1.3535576853629983,1.3455269439110054,2026-09-10 15:11:00+00:00,1.3535576853629983,SL,24.0922,-24.0922,0.6,-24.6922,-1.0249
